coluna,tipo,nulos,descricao
track_id,str,0,"Identificador único da faixa na base do Spotify. Funciona como chave primária — uma linha por track_id. Use para joins e remover duplicatas."
artists,str,0,"Lista de artistas creditados na faixa (artista principal + todos os colaboradores), separados por ';'."
album_name,str,0,"Nome do álbum em que a faixa foi originalmente lançada. A mesma faixa pode aparecer em vários álbuns (compilações, remasterizações)."
track_name,str,0,"Título da faixa conforme registrado no Spotify."
duration_ms,float64,0,"Duração da faixa em milissegundos. Valores 0 nos dados brutos viraram NaN (sentinela inválida). Para leitura humana, prefira duracao_min."
explicit,bool,0,"True se a faixa foi marcada como conteúdo explícito (palavrão, temas adultos) pelo Spotify ou pela gravadora."
danceability,float64,0,"Quão adequada a faixa é para dançar (0–1). Combina tempo, regularidade rítmica, força do beat e estabilidade. ~0,5 = média; >0,7 = muito dançante."
energy,float64,0,"Intensidade e atividade percebida na faixa (0–1). Valores altos = rápidos, altos, ruidosos (death metal, EDM). Valores baixos = calmos, acústicos (ballads, ambient)."
key,int64,0,"Tom musical em pitch class: 0=C, 1=C#, 2=D, …, 11=B. Veja tonalidade para nomes por extenso."
loudness,float64,0,"Volume médio em decibels (dB), tipicamente de -60 (silêncio) a 0 (pico). Valores mais altos = master mais 'loud' (padrão da produção pop/rock moderna)."
mode,int64,0,"Modo da tonalidade: 0 = menor (soa mais sério/triste), 1 = maior (soa mais alegre/brilhante). Veja modo para a versão por extenso."
speechiness,float64,0,"Probabilidade de a faixa conter voz falada em vez de cantada (0–1). >0,66 = podcast/rap; 0,33–0,66 = mix fala/música; <0,33 = predominantemente musical."
acousticness,float64,0,"Confiança algorítmica de que a faixa é acústica, sem amplificação/eletrônica (0–1). 1,0 = quase certeza de acústico; 0,0 = certamente eletrônico."
instrumentalness,float64,0,"Confiança de que a faixa não contém vocais (0–1). >0,5 = provavelmente instrumental; >0,8 = quase certeza."
liveness,float64,0,"Probabilidade de a faixa ter sido gravada ao vivo, com plateia audível (0–1). >0,8 = quase certeza de ao vivo."
valence,float64,0,"Positividade emocional transmitida pela música (0–1). Alto = feliz/alegre; baixo = triste/melancólico. É uma estimativa algorítmica — não é a emoção percebida pelo ouvinte."
tempo,float64,157,"Andamento estimado em batidas por minuto (BPM). Valores 0 ou inválidos viraram NaN. 60 = andante, 120 = allegro, 180+ = prestissimo."
time_signature,float64,1008,"Fórmula de compasso: batidas por compasso. Mais comum = 4 (4/4). Valores 0 ou 1 nos dados brutos viraram NaN."
popularity,int64,0,"Score de popularidade do Spotify (0–100). Combina volume recente, recência e tendência — não é total de streams e pode estar defasado dos charts atuais."
generos,str,0,"Lista de gêneros atribuídos pelo Spotify à faixa, separados por ';'. Até 9 gêneros por faixa."
n_generos,int64,0,"Quantidade de gêneros atribuídos à faixa. Derivado de generos."
genero_principal,object,0,"Gênero representativo da faixa: o primeiro da lista em ordem alfabética. Critério arbitrário — útil para agregações, mas com viés de seleção."
duracao_min,float64,0,"Duração da faixa em minutos (derivada de duration_ms ÷ 60 000)."
duracao_categoria,category,0,"Duração agrupada: Curta (<2,5 min), Media (2,5–5 min), Longa (5–10 min), Muito Longa (>10 min)."
popularidade_faixa,category,0,"Popularidade agrupada: Baixa (1–25), Media (26–50), Alta (51–75), Muito Alta (76–100)."
tonalidade,str,0,"Tom musical por extenso: C, C#, D, …, B. Derivado de key."
modo,str,0,"Modo por extenso: 'Maior' (1) ou 'Menor' (0). Veja também tonalidade_completa."
tonalidade_completa,str,0,"Combinação de tonalidade e modo. Exemplo: 'C Maior', 'A Menor'. Útil para análise de campos harmônicos."
e_instrumental,bool,0,"True se instrumentalness > 0,5. Classificação categórica derivada — não substitui a leitura contínua."
e_ao_vivo,bool,0,"True se liveness > 0,8. Classificação categórica derivada — não substitui a leitura contínua."
n_artistas,int64,0,"Quantidade de artistas creditados na faixa. 1 = solo, 2 = dupla, >2 = colaboração múltipla."
artista_principal,object,0,"Primeiro artista da lista em artists — aquele em quem a faixa é creditada. Usado para agregações por artista."
